tarjeta,perfil,zona_residencia_origen,activa,fecha_baja,ultima_operacion,ultima_secuencia
TC-00015174,trabajador,Zona 6,true,,UPDATE,29281
TC-00015177,adulto_mayor,Zona 17,true,,UPDATE,9303
TC-00015178,estudiante,Santa Catarina Pinula,true,,UPDATE,7292
TC-00015202,trabajador,Zona 4,true,,UPDATE,26500
TC-00015204,,,false,2026-06-03 22:58:00,DELETE,2001
TC-00015207,general,Zona 18,true,,UPDATE,25921
TC-00015209,estudiante,Zona 9,true,,UPDATE,11408
TC-00015211,trabajador,Zona 8,true,,INSERT,7003
TC-00015212,trabajador,Santa Catarina Pinula,true,,UPDATE,17046
TC-00015214,trabajador,Zona 13,true,,INSERT,23613
TC-00015218,trabajador,Zona 13,true,,INSERT,20062
TC-00015221,adulto_mayor,Zona 4,true,,UPDATE,23734
TC-00015222,,,false,2026-07-10 23:21:00,DELETE,27547
TC-00015224,trabajador,San Miguel Petapa,true,,UPDATE,17140
TC-00015226,,,false,2026-07-07 11:01:00,DELETE,25509
TC-00015231,adulto_mayor,Zona 13,true,,UPDATE,27365
TC-00015235,estudiante,Mixco,true,,UPDATE,7909
TC-00015257,trabajador,Zona 7,true,,INSERT,9136
TC-00015258,adulto_mayor,Zona 6,true,,UPDATE,22342
TC-00015262,trabajador,Zona 9,true,,UPDATE,17789
TC-00015263,estudiante,Zona 6,true,,INSERT,29138
TC-00015265,estudiante,Zona 10,true,,UPDATE,25815
TC-00015266,adulto_mayor,Zona 6,true,,UPDATE,16894
TC-00015267,general,Villa Nueva,true,,UPDATE,8184
TC-00015270,adulto_mayor,Zona 10,true,,UPDATE,20277
TC-00015271,trabajador,Zona 4,true,,INSERT,14565
TC-00015274,adulto_mayor,Villa Nueva,true,,UPDATE,8170
TC-00015280,adulto_mayor,Santa Catarina Pinula,true,,UPDATE,13695
TC-00015283,trabajador,Zona 8,true,,INSERT,18756
TC-00015284,trabajador,Zona 7,true,,UPDATE,3285
TC-00015285,trabajador,Zona 11,true,,INSERT,7676
TC-00015289,general,Zona 4,true,,UPDATE,15629
TC-00015290,general,Zona 18,true,,UPDATE,28681
TC-00015291,trabajador,San Miguel Petapa,true,,UPDATE,15698
TC-00015292,estudiante,Zona 6,true,,INSERT,29068
TC-00015309,,,false,2026-06-12 00:07:00,DELETE,8249
TC-00015315,adulto_mayor,Zona 8,true,,UPDATE,6519
TC-00015316,general,Santa Catarina Pinula,true,,UPDATE,3072
TC-00015318,trabajador,Zona 18,true,,INSERT,9030
TC-00015319,adulto_mayor,Mixco,true,,UPDATE,17075
TC-00015322,trabajador,Zona 18,true,,INSERT,27040
TC-00015323,estudiante,Zona 13,true,,INSERT,2250
TC-00015326,estudiante,Zona 7,true,,UPDATE,23142
TC-00015330,estudiante,Zona 12,true,,UPDATE,21973
TC-00015335,,,false,2026-06-24 19:44:00,DELETE,16552
TC-00015342,,,false,2026-06-23 07:13:00,DELETE,15808
TC-00015343,general,Santa Catarina Pinula,true,,INSERT,24909
TC-00015344,adulto_mayor,Zona 4,true,,UPDATE,27888
TC-00015346,,,false,2026-07-15 04:11:00,DELETE,30963
TC-00015351,,,false,2026-07-03 00:02:00,DELETE,22711
TC-00015354,estudiante,Zona 11,true,,INSERT,19473
TC-00015366,estudiante,Zona 8,true,,UPDATE,17003
TC-00015367,estudiante,Zona 13,true,,UPDATE,18288
TC-00015368,general,Zona 1,true,,UPDATE,7847
TC-00015371,,,false,2026-07-13 20:52:00,DELETE,29652
TC-00015374,estudiante,Zona 6,true,,UPDATE,21692
TC-00015376,adulto_mayor,Zona 18,true,,INSERT,29851
TC-00015379,,,false,2026-06-29 02:59:00,DELETE,19971
TC-00015382,general,Zona 4,true,,UPDATE,10747
TC-00015383,estudiante,Zona 17,true,,INSERT,13246
TC-00015385,trabajador,Zona 6,true,,INSERT,14505
TC-00015386,,,false,2026-06-07 19:31:00,DELETE,4780
TC-00015387,general,Zona 9,true,,UPDATE,15568
TC-00015388,estudiante,Zona 13,true,,UPDATE,2359
TC-00015398,general,Zona 11,true,,UPDATE,12067
TC-00015401,trabajador,Zona 12,true,,INSERT,11064
TC-00015406,adulto_mayor,Zona 9,true,,UPDATE,21937
TC-00015411,estudiante,Zona 7,true,,INSERT,11949
TC-00015414,general,Zona 9,true,,UPDATE,10728
TC-00015420,trabajador,Zona 9,true,,INSERT,15325
TC-00015423,,,false,2026-07-05 12:35:00,DELETE,24078
TC-00015425,,,false,2026-07-01 05:34:00,DELETE,21313
TC-00015426,estudiante,Zona 18,true,,UPDATE,23171
TC-00015435,trabajador,Santa Catarina Pinula,true,,INSERT,25027
TC-00015438,trabajador,Zona 1,true,,UPDATE,24589
TC-00015441,trabajador,Mixco,true,,UPDATE,16274
TC-00015443,estudiante,San Miguel Petapa,true,,INSERT,13239
TC-00015444,estudiante,Zona 17,true,,INSERT,19361
TC-00015448,adulto_mayor,Zona 18,true,,UPDATE,27335
TC-00015449,general,Zona 7,true,,UPDATE,5849
TC-00015450,,,false,2026-06-02 17:48:00,DELETE,1317
TC-00015454,,,false,2026-06-02 18:27:00,DELETE,1367
TC-00015456,adulto_mayor,Zona 7,true,,INSERT,22270
TC-00015459,trabajador,Santa Catarina Pinula,true,,UPDATE,12953
TC-00015460,trabajador,Zona 6,true,,INSERT,13127
TC-00015468,estudiante,Villa Nueva,true,,UPDATE,581
TC-00015472,general,Zona 7,true,,UPDATE,14364
TC-00015473,adulto_mayor,Zona 8,true,,UPDATE,17107
TC-00015475,,,false,2026-07-04 11:57:00,DELETE,23448
TC-00015476,estudiante,Zona 17,true,,UPDATE,2375
TC-00015478,general,Zona 1,true,,UPDATE,22625
TC-00015479,trabajador,Zona 9,true,,INSERT,1444
TC-00015480,general,Mixco,true,,UPDATE,22640
TC-00015481,adulto_mayor,Zona 11,true,,UPDATE,19574
TC-00015493,estudiante,Zona 12,true,,UPDATE,990
TC-00015497,general,Zona 11,true,,UPDATE,22412
TC-00015499,general,Zona 1,true,,UPDATE,26626
TC-00015500,trabajador,Zona 10,true,,INSERT,19413
TC-00015501,trabajador,San Miguel Petapa,true,,INSERT,3624
TC-00015502,,,false,2026-06-12 05:51:00,DELETE,8265
TC-00015503,estudiante,Zona 7,true,,UPDATE,25185
TC-00015506,general,Zona 9,true,,INSERT,26452
TC-00015518,adulto_mayor,Villa Nueva,true,,UPDATE,12697
TC-00015522,adulto_mayor,Zona 9,true,,UPDATE,16909
TC-00015528,trabajador,Zona 1,true,,UPDATE,24528
TC-00015532,trabajador,Mixco,true,,INSERT,29145
TC-00015534,trabajador,Zona 4,true,,INSERT,182
TC-00015538,adulto_mayor,Zona 1,true,,UPDATE,11565
TC-00015539,trabajador,Zona 9,true,,UPDATE,23316
TC-00015540,trabajador,Zona 1,true,,UPDATE,26527
TC-00015542,trabajador,Zona 11,true,,INSERT,30454
TC-00015543,trabajador,San Miguel Petapa,true,,UPDATE,28807
TC-00015544,trabajador,Zona 12,true,,INSERT,14595
TC-00015550,,,false,2026-06-21 14:06:00,DELETE,14406
TC-00015553,,,false,2026-06-14 12:40:00,DELETE,9571
TC-00015554,,,false,2026-06-20 03:19:00,DELETE,13744
TC-00015555,trabajador,Zona 10,true,,INSERT,11148
TC-00015556,trabajador,Zona 10,true,,INSERT,2963
TC-00015557,estudiante,Zona 18,true,,UPDATE,18301
TC-00015558,trabajador,Zona 6,true,,UPDATE,1129
TC-00015559,adulto_mayor,Zona 12,true,,UPDATE,12971
TC-00015561,trabajador,Zona 4,true,,INSERT,28334
TC-00015567,trabajador,Zona 1,true,,INSERT,862
TC-00015569,trabajador,Zona 7,true,,INSERT,22810
TC-00015573,general,Santa Catarina Pinula,true,,INSERT,29695
TC-00015587,trabajador,Zona 7,true,,INSERT,21579
TC-00015592,,,false,2026-06-06 00:42:00,DELETE,4123
TC-00015593,trabajador,Mixco,true,,UPDATE,24743
TC-00015597,adulto_mayor,Zona 1,true,,UPDATE,7309
TC-00015605,,,false,2026-06-07 22:20:00,DELETE,4793
TC-00015606,trabajador,San Miguel Petapa,true,,UPDATE,17812
TC-00015612,adulto_mayor,Zona 13,true,,UPDATE,391
TC-00015614,trabajador,Zona 13,true,,UPDATE,24666
TC-00015616,adulto_mayor,Zona 1,true,,UPDATE,403
TC-00015619,adulto_mayor,Zona 13,true,,UPDATE,8116
TC-00015626,adulto_mayor,Zona 10,true,,UPDATE,20978
TC-00015627,general,Zona 9,false,2026-06-28 14:37:00,DELETE,19292
TC-00015628,estudiante,Zona 17,true,,INSERT,24866
TC-00015629,general,Zona 18,true,,UPDATE,14057
TC-00015630,general,Zona 4,true,,INSERT,11052
TC-00015635,trabajador,Zona 18,true,,UPDATE,3960
TC-00015637,,,false,2026-06-09 10:44:00,DELETE,6124
TC-00015638,trabajador,Zona 13,true,,UPDATE,28057
TC-00015640,adulto_mayor,Zona 13,true,,UPDATE,11526
TC-00015645,general,Zona 17,true,,UPDATE,29226
TC-00015650,estudiante,San Miguel Petapa,true,,INSERT,20791
TC-00015656,,,false,2026-06-11 13:52:00,DELETE,7531
TC-00015658,trabajador,Santa Catarina Pinula,true,,INSERT,19354
TC-00015659,estudiante,Zona 11,true,,UPDATE,4508
TC-00015660,general,Zona 13,true,,UPDATE,30197
TC-00015668,trabajador,Mixco,true,,UPDATE,22518
TC-00015670,trabajador,Zona 17,false,2026-07-12 15:39:00,DELETE,28938
TC-00015672,trabajador,Zona 6,true,,UPDATE,20953
TC-00015673,estudiante,Zona 6,true,,UPDATE,20401
TC-00015674,,,false,2026-06-24 00:02:00,DELETE,16499
TC-00015676,trabajador,Zona 18,true,,INSERT,26977
TC-00015679,trabajador,Zona 4,true,,INSERT,13879
TC-00015685,trabajador,Zona 1,true,,INSERT,8468
TC-00015686,trabajador,Zona 6,true,,UPDATE,11624
TC-00015696,adulto_mayor,Zona 18,true,,INSERT,2923
TC-00015702,estudiante,Mixco,true,,INSERT,29773
TC-00015703,trabajador,Zona 18,true,,UPDATE,10897
TC-00015704,general,Zona 13,true,,UPDATE,442
TC-00015706,trabajador,Zona 7,true,,UPDATE,8090
TC-00015709,,,false,2026-07-14 08:51:00,DELETE,30321
TC-00015712,trabajador,Zona 4,true,,INSERT,7068
TC-00015725,general,Zona 18,true,,UPDATE,12892
TC-00015729,,,false,2026-06-22 05:20:00,DELETE,15119
TC-00015734,trabajador,Zona 9,true,,UPDATE,6110
TC-00015740,adulto_mayor,Zona 8,true,,UPDATE,23165
TC-00015748,trabajador,Zona 1,true,,INSERT,27139
TC-00015751,trabajador,Santa Catarina Pinula,true,,INSERT,15314
TC-00015759,trabajador,Zona 8,true,,INSERT,20922
TC-00015762,general,Zona 8,true,,UPDATE,22497
TC-00015767,general,Zona 9,true,,INSERT,29049
TC-00015772,estudiante,Zona 9,true,,UPDATE,5194
TC-00015773,trabajador,San Miguel Petapa,true,,INSERT,18050
TC-00015774,adulto_mayor,Mixco,true,,UPDATE,3803
TC-00015776,general,Zona 12,true,,UPDATE,25987
TC-00015779,general,Zona 10,true,,UPDATE,28596
TC-00015781,estudiante,Zona 4,true,,INSERT,21435
TC-00015783,estudiante,Zona 6,true,,UPDATE,16850
TC-00015784,adulto_mayor,Zona 12,true,,UPDATE,19120
TC-00015790,trabajador,Zona 10,false,2026-07-09 15:41:00,DELETE,26901
TC-00015792,trabajador,Zona 4,true,,INSERT,27799
TC-00015794,adulto_mayor,Santa Catarina Pinula,true,,UPDATE,26532
TC-00015797,adulto_mayor,Zona 12,true,,UPDATE,20495
TC-00015804,general,Mixco,true,,INSERT,16098
TC-00015805,estudiante,Zona 13,true,,UPDATE,12958
TC-00015807,estudiante,Zona 18,true,,UPDATE,22370
TC-00015818,general,Zona 4,true,,UPDATE,27954
TC-00015820,adulto_mayor,Zona 17,false,2026-06-27 12:37:00,DELETE,18577
TC-00015823,trabajador,Zona 10,true,,INSERT,14017
TC-00015833,general,Zona 7,true,,UPDATE,4625
TC-00015834,trabajador,Zona 13,true,,INSERT,30531
TC-00015836,general,Zona 7,true,,INSERT,22150
TC-00015843,estudiante,Mixco,true,,UPDATE,1669
TC-00015844,trabajador,Zona 17,true,,INSERT,30561
TC-00015845,adulto_mayor,Zona 1,true,,UPDATE,28736
TC-00015848,trabajador,Zona 12,true,,UPDATE,23901
TC-00015852,adulto_mayor,Zona 10,true,,UPDATE,7342
TC-00015854,general,Zona 9,false,2026-06-16 05:50:00,DELETE,10998
TC-00015855,trabajador,Zona 10,true,,UPDATE,3118
TC-00015857,adulto_mayor,Zona 6,true,,UPDATE,24467
TC-00015860,,,false,2026-06-06 12:20:00,DELETE,4055
TC-00015862,,,false,2026-06-20 18:20:00,DELETE,13789
TC-00015863,general,Mixco,true,,UPDATE,10673
TC-00015869,adulto_mayor,Zona 7,true,,UPDATE,29292
TC-00015870,general,Mixco,true,,UPDATE,6488
TC-00015874,general,Zona 10,true,,UPDATE,12251
TC-00015876,trabajador,Zona 4,true,,INSERT,24282
TC-00015879,adulto_mayor,Zona 6,true,,UPDATE,27908
TC-00015881,trabajador,Santa Catarina Pinula,false,2026-06-23 23:11:00,DELETE,15799
TC-00015882,general,Zona 12,true,,INSERT,27749
TC-00015884,general,Zona 13,true,,UPDATE,15710
TC-00015889,adulto_mayor,Zona 6,true,,INSERT,22772
TC-00015891,general,Zona 7,true,,UPDATE,23230
TC-00015892,trabajador,Zona 4,true,,INSERT,8993
TC-00015894,adulto_mayor,Zona 12,true,,UPDATE,8190
TC-00015897,estudiante,Zona 9,true,,INSERT,122
TC-00015898,estudiante,Zona 4,true,,UPDATE,24658
TC-00015899,trabajador,Zona 18,true,,UPDATE,29339
TC-00015903,adulto_mayor,Zona 11,true,,UPDATE,3746
TC-00015905,trabajador,Zona 1,true,,INSERT,5670
TC-00015909,adulto_mayor,Villa Nueva,true,,UPDATE,4726
TC-00015911,,,false,2026-06-29 10:15:00,DELETE,19962
TC-00015915,estudiante,Zona 4,true,,UPDATE,25333
TC-00015917,general,Zona 6,true,,INSERT,6914
TC-00015920,estudiante,Zona 7,true,,INSERT,22869
TC-00015933,estudiante,Zona 17,true,,INSERT,18127
TC-00015945,general,Zona 7,true,,UPDATE,30927
TC-00015948,adulto_mayor,Zona 12,true,,UPDATE,10935
TC-00015952,estudiante,Zona 7,true,,UPDATE,9269
TC-00015954,,,false,2026-06-27 18:13:00,DELETE,18621
TC-00015955,trabajador,Zona 11,true,,INSERT,29006
TC-00015956,trabajador,Zona 9,true,,INSERT,4144
TC-00015958,general,Villa Nueva,true,,UPDATE,15496
TC-00015960,general,Zona 11,true,,UPDATE,15757
TC-00015968,general,Zona 8,true,,INSERT,13906
TC-00015970,general,Villa Nueva,true,,INSERT,15953
TC-00015974,estudiante,Zona 18,true,,UPDATE,12118
TC-00015987,trabajador,Zona 11,true,,INSERT,21403
TC-00015989,trabajador,Zona 12,true,,INSERT,13179
TC-00015990,general,Zona 8,true,,INSERT,17317
TC-00015995,,,false,2026-07-06 03:54:00,DELETE,24796
TC-00015998,adulto_mayor,Zona 4,true,,INSERT,5646
TC-00016003,estudiante,Zona 10,true,,UPDATE,5985
TC-00016010,adulto_mayor,Zona 6,true,,UPDATE,16923
TC-00016013,trabajador,Zona 11,true,,INSERT,15357
TC-00016016,adulto_mayor,Zona 9,true,,UPDATE,21741
TC-00016022,trabajador,Zona 4,true,,UPDATE,408
TC-00016026,adulto_mayor,Zona 13,true,,UPDATE,20316
TC-00016031,general,San Miguel Petapa,true,,UPDATE,14167
TC-00016033,general,Zona 7,true,,INSERT,10439
TC-00016035,trabajador,Zona 12,true,,INSERT,12514
TC-00016037,estudiante,Zona 13,true,,UPDATE,5117
TC-00016039,trabajador,Zona 6,true,,UPDATE,7899
TC-00016041,,,false,2026-06-24 14:50:00,DELETE,16523
TC-00016055,trabajador,Zona 18,true,,UPDATE,21238
TC-00016056,estudiante,Zona 12,true,,UPDATE,9333
TC-00016061,,,false,2026-06-26 16:46:00,DELETE,17868
TC-00016063,trabajador,Zona 13,true,,INSERT,20724
TC-00016065,estudiante,Zona 10,true,,UPDATE,13700
TC-00016072,general,Zona 4,true,,UPDATE,9377
TC-00016079,,,false,2026-06-06 11:47:00,DELETE,4136
TC-00016086,general,Zona 8,true,,UPDATE,15090
TC-00016087,,,false,2026-07-11 16:29:00,DELETE,28280
TC-00016097,general,Mixco,true,,INSERT,20859
TC-00016102,estudiante,Zona 7,true,,UPDATE,19737
TC-00016103,adulto_mayor,Zona 13,true,,UPDATE,26470
TC-00016104,,,false,2026-07-15 00:53:00,DELETE,31035
TC-00016109,trabajador,Zona 4,true,,INSERT,29168
TC-00016114,trabajador,Zona 9,true,,UPDATE,28011
TC-00016117,trabajador,Zona 6,true,,INSERT,16790
TC-00016121,general,Zona 12,true,,UPDATE,7315
TC-00016123,general,Santa Catarina Pinula,true,,UPDATE,11512
TC-00016129,adulto_mayor,Zona 7,true,,UPDATE,959
TC-00016130,adulto_mayor,Zona 1,true,,UPDATE,18305
TC-00016131,trabajador,Zona 18,true,,INSERT,25038
TC-00016132,estudiante,Mixco,true,,UPDATE,15590
TC-00016137,adulto_mayor,Zona 11,true,,UPDATE,28856
TC-00016144,general,Zona 13,true,,INSERT,2287
TC-00016160,trabajador,Zona 9,true,,UPDATE,27303
TC-00016163,adulto_mayor,Zona 1,true,,UPDATE,14085
TC-00016164,adulto_mayor,Zona 17,true,,UPDATE,28532
TC-00016165,general,San Miguel Petapa,true,,UPDATE,12907
TC-00016166,estudiante,Villa Nueva,true,,INSERT,1577
TC-00016167,trabajador,Zona 7,true,,UPDATE,26721
TC-00016169,,,false,2026-06-10 09:24:00,DELETE,6874
TC-00016178,trabajador,Zona 1,true,,UPDATE,21802
TC-00016179,estudiante,Zona 13,true,,INSERT,7775
TC-00016180,adulto_mayor,Santa Catarina Pinula,true,,UPDATE,30820
TC-00016184,adulto_mayor,Zona 12,true,,UPDATE,21297
TC-00016194,,,false,2026-06-16 19:36:00,DELETE,10971
TC-00016197,trabajador,Santa Catarina Pinula,true,,UPDATE,29942
TC-00016198,,,false,2026-07-01 05:52:00,DELETE,21335
TC-00016199,trabajador,Zona 11,true,,INSERT,5653
TC-00016200,trabajador,Zona 18,true,,UPDATE,23935
TC-00016201,estudiante,Zona 1,true,,UPDATE,4541
TC-00016202,trabajador,Villa Nueva,true,,INSERT,18788
TC-00016209,trabajador,Zona 12,true,,INSERT,9012
TC-00016217,trabajador,Santa Catarina Pinula,true,,INSERT,4284
TC-00016220,trabajador,Zona 12,true,,INSERT,17287
TC-00016221,trabajador,Zona 12,true,,INSERT,25629
TC-00016222,general,San Miguel Petapa,true,,UPDATE,30253
TC-00016224,adulto_mayor,Villa Nueva,true,,INSERT,27024
TC-00016225,general,Zona 12,true,,INSERT,19350
TC-00016226,trabajador,Mixco,true,,UPDATE,15683
TC-00016227,,,false,2026-06-22 09:45:00,DELETE,15133
TC-00016230,trabajador,Mixco,true,,INSERT,13988
TC-00016231,trabajador,Zona 10,true,,INSERT,16758
TC-00016233,,,false,2026-07-10 03:18:00,DELETE,27586
TC-00016239,general,Zona 1,true,,UPDATE,5973
TC-00016240,,,false,2026-06-27 08:28:00,DELETE,18546
TC-00016243,adulto_mayor,San Miguel Petapa,true,,UPDATE,30175
TC-00016246,trabajador,Zona 11,true,,INSERT,16100
TC-00016247,adulto_mayor,Zona 1,true,,INSERT,23621
TC-00016251,adulto_mayor,Zona 12,true,,UPDATE,24422
TC-00016255,estudiante,Zona 4,true,,UPDATE,26559
TC-00016259,trabajador,San Miguel Petapa,true,,UPDATE,4034
TC-00016260,trabajador,San Miguel Petapa,true,,UPDATE,10045
TC-00016268,adulto_mayor,Villa Nueva,true,,UPDATE,10005
TC-00016269,trabajador,Villa Nueva,true,,INSERT,3520
TC-00016271,trabajador,Santa Catarina Pinula,true,,INSERT,4251
TC-00016272,trabajador,Zona 7,true,,UPDATE,3715
TC-00016273,trabajador,Zona 7,true,,UPDATE,515
TC-00016274,estudiante,Zona 1,true,,INSERT,15288
TC-00016277,estudiante,Zona 12,true,,UPDATE,6007
TC-00016281,trabajador,Villa Nueva,false,2026-07-13 08:53:00,DELETE,29634
TC-00016283,general,Mixco,true,,UPDATE,30630
TC-00016287,general,Zona 6,true,,UPDATE,22445
TC-00016293,trabajador,Zona 8,true,,UPDATE,7867
TC-00016298,general,Zona 11,true,,INSERT,18775
TC-00016300,trabajador,Villa Nueva,true,,UPDATE,5908
TC-00016301,adulto_mayor,Zona 18,true,,UPDATE,4498
TC-00016305,trabajador,San Miguel Petapa,true,,UPDATE,16158
TC-00016307,estudiante,Zona 8,true,,UPDATE,25396
TC-00016308,general,Zona 6,true,,UPDATE,30107
TC-00016311,estudiante,Mixco,true,,INSERT,3609
TC-00016313,estudiante,Zona 7,true,,UPDATE,5791
TC-00016316,trabajador,Villa Nueva,true,,UPDATE,23342
TC-00016318,trabajador,Zona 7,true,,INSERT,12626
TC-00016329,trabajador,Zona 18,true,,INSERT,3461
TC-00016330,adulto_mayor,Zona 1,true,,INSERT,17406
TC-00016331,trabajador,Zona 11,true,,UPDATE,29233
TC-00016334,general,Zona 13,true,,UPDATE,30794
TC-00016336,trabajador,Zona 11,true,,INSERT,27627
TC-00016339,trabajador,Zona 12,true,,UPDATE,26080
TC-00016342,,,false,2026-06-03 00:05:00,DELETE,2023
TC-00016343,trabajador,Zona 18,true,,INSERT,18757
TC-00016357,trabajador,Zona 11,true,,UPDATE,4490
TC-00016358,,,false,2026-06-01 11:01:00,DELETE,617
TC-00016359,adulto_mayor,Zona 9,true,,UPDATE,26613
TC-00016365,adulto_mayor,Zona 18,true,,UPDATE,25114
TC-00016367,adulto_mayor,Mixco,true,,UPDATE,10672
TC-00016373,,,false,2026-06-01 09:17:00,DELETE,686
TC-00016374,trabajador,Zona 1,true,,UPDATE,28874
TC-00016377,general,Zona 6,true,,UPDATE,25184
TC-00016381,trabajador,San Miguel Petapa,true,,INSERT,3467
TC-00016385,adulto_mayor,Zona 4,true,,UPDATE,5268
TC-00016386,general,Zona 18,true,,INSERT,20881
TC-00016387,trabajador,Zona 11,true,,INSERT,29017
TC-00016393,general,Zona 6,true,,UPDATE,23713
TC-00016396,,,false,2026-06-28 03:58:00,DELETE,19272
TC-00016405,adulto_mayor,Zona 9,true,,UPDATE,15027
TC-00016407,adulto_mayor,Zona 11,true,,UPDATE,10106
TC-00016408,general,Zona 8,true,,UPDATE,19042
TC-00016409,adulto_mayor,Santa Catarina Pinula,true,,INSERT,6215
TC-00016410,general,Zona 10,true,,UPDATE,21260
TC-00016414,general,Zona 13,true,,UPDATE,7406
TC-00016419,general,Zona 18,true,,UPDATE,28084
TC-00016422,estudiante,Zona 10,true,,UPDATE,19896
TC-00016423,estudiante,Mixco,true,,INSERT,26244
TC-00016429,estudiante,Villa Nueva,true,,UPDATE,12944
TC-00016430,,,false,2026-07-02 12:47:00,DELETE,22056
TC-00016435,estudiante,Zona 7,true,,UPDATE,14163
TC-00016439,estudiante,Zona 10,true,,UPDATE,18948
TC-00016440,adulto_mayor,Zona 11,true,,UPDATE,1088
TC-00016444,trabajador,Mixco,true,,INSERT,29171
TC-00016445,trabajador,Zona 18,true,,UPDATE,25117
TC-00016448,,,false,2026-07-08 00:57:00,DELETE,26156
TC-00016464,trabajador,Zona 8,true,,INSERT,14657
TC-00016467,estudiante,Zona 9,true,,INSERT,15874
TC-00016470,trabajador,Zona 9,true,,INSERT,25682
TC-00016472,trabajador,Santa Catarina Pinula,true,,INSERT,21617
TC-00016473,trabajador,San Miguel Petapa,true,,INSERT,14591
TC-00016475,trabajador,Zona 13,true,,INSERT,17951
TC-00016479,,,false,2026-07-15 20:42:00,DELETE,31030
TC-00016483,adulto_mayor,Zona 7,true,,INSERT,29709
TC-00016485,trabajador,Zona 6,true,,INSERT,19452
TC-00016486,trabajador,Zona 18,true,,INSERT,15883
TC-00016490,adulto_mayor,Zona 9,true,,UPDATE,593
TC-00016492,trabajador,Zona 10,true,,INSERT,23660
TC-00016496,estudiante,Zona 10,true,,UPDATE,17587
TC-00016498,,,false,2026-06-06 09:28:00,DELETE,4062
TC-00016507,adulto_mayor,Zona 18,true,,UPDATE,12860
TC-00016508,adulto_mayor,Zona 7,true,,UPDATE,20599
TC-00016512,trabajador,Zona 13,true,,UPDATE,4449
TC-00016515,,,false,2026-06-27 17:04:00,DELETE,18587
TC-00016521,general,Zona 17,true,,INSERT,15957
TC-00016525,general,Zona 13,true,,INSERT,6991
TC-00016530,adulto_mayor,Santa Catarina Pinula,true,,INSERT,12432
TC-00016532,trabajador,Zona 17,true,,UPDATE,16872
TC-00016536,adulto_mayor,Mixco,true,,UPDATE,15636
TC-00016547,estudiante,Zona 13,true,,UPDATE,23777
TC-00016549,adulto_mayor,Santa Catarina Pinula,true,,UPDATE,25103
TC-00016551,trabajador,Santa Catarina Pinula,true,,INSERT,14030
TC-00016553,estudiante,San Miguel Petapa,true,,UPDATE,18327
TC-00016556,estudiante,Zona 1,true,,INSERT,25036
TC-00016557,trabajador,Zona 8,true,,INSERT,7657
TC-00016563,adulto_mayor,Santa Catarina Pinula,true,,UPDATE,16193
TC-00016564,trabajador,Zona 18,true,,UPDATE,23945
TC-00016579,trabajador,Zona 7,true,,INSERT,24896
TC-00016582,,,false,2026-06-02 17:52:00,DELETE,1338
TC-00016583,estudiante,Zona 18,true,,UPDATE,3310
TC-00016586,estudiante,Zona 9,true,,UPDATE,22676
TC-00016587,,,false,2026-06-24 19:31:00,DELETE,16496
TC-00016588,estudiante,Zona 6,true,,UPDATE,16119
TC-00016591,general,Zona 9,true,,UPDATE,4529
TC-00016595,trabajador,Zona 4,true,,INSERT,17445
TC-00016598,trabajador,Mixco,true,,UPDATE,28046
TC-00016599,,,false,2026-06-28 08:13:00,DELETE,19295
TC-00016601,estudiante,Zona 9,true,,UPDATE,21032
TC-00016606,adulto_mayor,Zona 17,true,,UPDATE,7194
TC-00016608,estudiante,San Miguel Petapa,true,,UPDATE,20589
TC-00016615,trabajador,Zona 12,true,,INSERT,23462
TC-00016619,trabajador,Zona 7,true,,UPDATE,1964
TC-00016623,general,Zona 18,true,,UPDATE,12001
TC-00016629,estudiante,Zona 11,true,,UPDATE,26546
TC-00016632,trabajador,Zona 6,true,,INSERT,23700
TC-00016636,,,false,2026-06-14 16:14:00,DELETE,9620
TC-00016637,adulto_mayor,Zona 8,true,,INSERT,19513
TC-00016639,adulto_mayor,Zona 13,true,,UPDATE,28183
TC-00016641,adulto_mayor,Zona 8,true,,UPDATE,23895
TC-00016646,general,Zona 7,true,,UPDATE,16130
TC-00016648,trabajador,Zona 11,true,,INSERT,26372
TC-00016651,trabajador,Zona 13,true,,UPDATE,18505
TC-00016654,trabajador,Mixco,true,,UPDATE,14147
TC-00016663,trabajador,San Miguel Petapa,true,,INSERT,20783
TC-00016666,estudiante,Zona 4,true,,INSERT,18749
TC-00016668,general,Zona 12,true,,UPDATE,3257
TC-00016669,estudiante,Zona 11,true,,UPDATE,4698
TC-00016670,trabajador,Zona 9,true,,UPDATE,20301
TC-00016682,trabajador,Zona 7,true,,UPDATE,15482
TC-00016685,,,false,2026-06-08 10:20:00,DELETE,5453
TC-00016688,,,false,2026-07-06 04:25:00,DELETE,24772
TC-00016689,trabajador,Zona 7,true,,INSERT,15399
TC-00016696,general,San Miguel Petapa,true,,UPDATE,17637
TC-00016697,adulto_mayor,Zona 13,true,,INSERT,24911
TC-00016698,general,Zona 13,true,,UPDATE,23277
TC-00016700,general,Zona 1,true,,INSERT,26422
TC-00016701,general,Zona 18,false,2026-07-04 07:25:00,DELETE,23451
TC-00016703,adulto_mayor,Zona 11,true,,INSERT,18847
TC-00016704,estudiante,Zona 10,true,,INSERT,22912
TC-00016706,,,false,2026-07-13 00:56:00,DELETE,29591
